Date,Name,Year,Letterboxd URI
2025-03-29,Remember the Titans,2000,https://boxd.it/1VLk
2025-04-03,BlackBerry,2023,https://boxd.it/CoVK
2025-04-10,Hoop Dreams,1994,https://boxd.it/1Opc
2025-04-14,Another Round,2020,https://boxd.it/lkba
2025-04-22,Sinners,2025,https://boxd.it/KQMM
2025-05-02,Made in Hong Kong,1997,https://boxd.it/1uFk
2025-05-05,Heat,1995,https://boxd.it/2bg8
2025-05-07,The Prince of Egypt,1998,https://boxd.it/1XGQ
2025-05-11,Malcolm X,1992,https://boxd.it/27WE
2025-05-11,The Dictator,2012,https://boxd.it/2DEW
2025-05-30,Friendship,2024,https://boxd.it/L6Dc
2025-06-06,City of God,2002,https://boxd.it/2a2a
2025-06-07,The Day He Arrives,2011,https://boxd.it/31L8
2025-06-08,On the Occasion of Remembering the Turning Gate,2002,https://boxd.it/wYm
2025-06-09,Tale of Cinema,2005,https://boxd.it/31H6
2025-06-17,Concetta,2025,https://boxd.it/VAkO
2025-06-19,Materialists,2025,https://boxd.it/GZlW
2025-06-21,After Hours,1985,https://boxd.it/1VfS
2025-06-23,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne
2025-06-23,Jawbreaker,1999,https://boxd.it/1G7a
2025-06-23,Mulan II,2004,https://boxd.it/1ScG
2025-06-28,Dog Day Afternoon,1975,https://boxd.it/29bg
2025-07-06,Ford v Ferrari,2019,https://boxd.it/ce74
2025-07-12,Air,2023,https://boxd.it/Arlc
2025-07-12,The Place Which Isn’t Necessarily Wrong,1996,https://boxd.it/xrK6
2025-07-13,Superman,2025,https://boxd.it/E9IU
2025-07-14,Taste of Cherry,1997,https://boxd.it/1m8W
2025-07-14,Babylon,2022,https://boxd.it/mM02
2025-07-19,Bleeder,1999,https://boxd.it/1HKs
2025-07-19,Hairspray,2007,https://boxd.it/261M
2025-07-20,Now You See Me,2013,https://boxd.it/2Bsu
2025-07-23,After the Wedding,2006,https://boxd.it/25eg
2025-07-25,All That Jazz,1979,https://boxd.it/1JB8
2025-07-25,Miles Davis: Birth of the Cool,2019,https://boxd.it/kLfm
2025-07-26,In the Heights,2021,https://boxd.it/gLhu
2025-07-27,Nostalgia,1983,https://boxd.it/28Qi
2025-07-30,The Notebook,2004,https://boxd.it/1UNE
2025-08-21,My Lenin,1970,https://boxd.it/jwIm
2025-09-13,Yi Yi,2000,https://boxd.it/1vCw
2025-09-25,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ
2025-09-28,Mirch Masala,1987,https://boxd.it/6R0E
2025-09-29,Linda Linda Linda,2005,https://boxd.it/1s1C
2025-09-30,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG
2025-09-30,Woman Is the Future of Man,2004,https://boxd.it/1K4O
2025-09-30,All the President's Men,1976,https://boxd.it/29lU
2025-10-02,Love Exposure,2008,https://boxd.it/1pDe
2025-10-03,Phantom Thread,2017,https://boxd.it/e4uc
2025-10-10,Punch-Drunk Love,2002,https://boxd.it/20E4
2025-10-11,The Wedding Banquet,1993,https://boxd.it/1Z82
2025-10-11,Millennium Mambo,2001,https://boxd.it/1Tzw
2025-10-11,3-Iron,2004,https://boxd.it/28WK
2025-10-11,The Isle,2000,https://boxd.it/1ZZ6
2025-10-11,Videodrome,1983,https://boxd.it/29uC
2025-10-12,The Damned United,2009,https://boxd.it/1ByU
2025-10-13,Elevator to the Gallows,1958,https://boxd.it/294u
2025-10-13,A Snake of June,2002,https://boxd.it/1fuQ
2025-10-13,Donkey Skin,1970,https://boxd.it/22V2
2025-10-13,TRON: Legacy,2010,https://boxd.it/1Dlo
2025-10-13,Arise Like A Fire,1972,https://boxd.it/iq7s
2025-10-14,Crash,1996,https://boxd.it/29n2
2025-10-14,Time Piece,1965,https://boxd.it/IrE
2025-10-14,Dead Ringers,1988,https://boxd.it/1Yqk
2025-10-15,Between Calmness and Passion,2001,https://boxd.it/1fGs
2025-10-15,The Fast and the Furious,2001,https://boxd.it/1XMu
2025-10-15,2 Fast 2 Furious,2003,https://boxd.it/2a4g
2025-10-15,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo
2025-10-17,Amadeus,1984,https://boxd.it/2aH8
2025-10-20,Control,2007,https://boxd.it/22IC
2025-10-21,Picnic,1996,https://boxd.it/10HU
2025-10-25,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu
2025-10-31,Frankenstein,2025,https://boxd.it/Ecsg
2025-11-02,Bugonia,2025,https://boxd.it/qeWY
2025-11-03,Il Mare,2000,https://boxd.it/1RuO
2025-11-04,KPop Demon Hunters,2025,https://boxd.it/ufwK
2025-11-08,Autumn Sonata,1978,https://boxd.it/1Rio
2025-11-09,The Day of the Beast,1995,https://boxd.it/1Vyg
2025-11-09,Tampopo,1985,https://boxd.it/1SZe
2025-11-13,Fallen Angels,1995,https://boxd.it/1UkW
2025-11-15,About Time,2013,https://boxd.it/43bI
2025-11-18,Three Colours: Blue,1993,https://boxd.it/2b7K
2025-11-22,Rental Family,2025,https://boxd.it/JQOw
2025-12-01,Secret Sunshine,2007,https://boxd.it/27CY
2025-12-06,Sentimental Value,2025,https://boxd.it/GwcG
2025-12-09,No Other Choice,2025,https://boxd.it/nKiA
2025-12-11,Resurrection,2025,https://boxd.it/x9DG
2025-12-16,A Bittersweet Life,2005,https://boxd.it/1U4Y
2025-12-19,Long Day's Journey Into Night,2018,https://boxd.it/hw1I
2025-12-26,It's a Wonderful Life,1946,https://boxd.it/28xA
2025-12-26,Kaili Blues,2015,https://boxd.it/cksW
2025-12-28,The Namesake,2006,https://boxd.it/1JJG
2025-12-31,Marty Supreme,2025,https://boxd.it/Off0
2026-01-06,Blessing Bell,2002,https://boxd.it/3xPG
